Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS Account Management Positive,,,,14-02-2024 19:46:10,14-02-2024 19:47:51,1m - 40.608s,PASSED
,,,,,,,
Test Cases/Positive Case/TCP001 - Login Sukses,,,,14-02-2024 19:46:10,14-02-2024 19:46:56,45.721s,PASSED
"startApplication(""C:\Users\asus\Downloads\Documents\Compressed\Advantage+demo+3.2.apk"", true)",,,,14-02-2024 19:46:11,14-02-2024 19:46:37,26.302s,PASSED
"tap(findTestObject(""Object Repository/swipebar""), 10)",,,,14-02-2024 19:46:37,14-02-2024 19:46:40,2.773s,PASSED
"tap(findTestObject(""Object Repository/loginwidget""), 10)",,,,14-02-2024 19:46:40,14-02-2024 19:46:41,1.464s,PASSED
"setText(findTestObject(""Object Repository/usernamewidget""), username, 10)",,,,14-02-2024 19:46:41,14-02-2024 19:46:44,2.998s,PASSED
"setText(findTestObject(""Object Repository/passwordwidget""), password, 10)",,,,14-02-2024 19:46:44,14-02-2024 19:46:48,3.098s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - LOGIN""), 10)",,,,14-02-2024 19:46:48,14-02-2024 19:46:49,1.106s,PASSED
"tap(findTestObject(""Object Repository/facerecoginitionlogin.Button - NO""), 10)",,,,14-02-2024 19:46:49,14-02-2024 19:46:52,3.449s,PASSED
delay(2),,,,14-02-2024 19:46:52,14-02-2024 19:46:54,2.052s,PASSED
closeApplication(),,,,14-02-2024 19:46:54,14-02-2024 19:46:56,2.014s,PASSED
,,,,,,,
Test Cases/Positive Case/TCP002 - Register Sukses,,,,14-02-2024 19:46:56,14-02-2024 19:47:51,54.530s,PASSED
"startApplication(""C:\Users\asus\Downloads\Documents\Compressed\Advantage+demo+3.2.apk"", true)",,,,14-02-2024 19:46:56,14-02-2024 19:47:14,17.940s,PASSED
"tap(findTestObject(""Object Repository/registerpage/swipebar""), 10)",,,,14-02-2024 19:47:14,14-02-2024 19:47:18,3.852s,PASSED
"tap(findTestObject(""Object Repository/registerpage/loginwidget""), 10)",,,,14-02-2024 19:47:18,14-02-2024 19:47:19,0.517s,PASSED
"tap(findTestObject(""Object Repository/registerpage/signup today button""), 10)",,,,14-02-2024 19:47:19,14-02-2024 19:47:21,2.045s,PASSED
"setText(findTestObject(""Object Repository/registerpage/usernameregister.EditText""), ""tikus"", 10)",,,,14-02-2024 19:47:21,14-02-2024 19:47:24,3.690s,PASSED
"setText(findTestObject(""Object Repository/registerpage/emailregister.EditText""), ""tikus@gmail.com"", 10)",,,,14-02-2024 19:47:24,14-02-2024 19:47:27,2.690s,PASSED
"setText(findTestObject(""Object Repository/registerpage/passowrdregister.EditText""), ""Tikus1"", 10)",,,,14-02-2024 19:47:27,14-02-2024 19:47:29,2.154s,PASSED
"setText(findTestObject(""Object Repository/registerpage/confirmpassregister.EditText""), ""Tikus1"", 10)",,,,14-02-2024 19:47:29,14-02-2024 19:47:31,2.070s,PASSED
hideKeyboard(),,,,14-02-2024 19:47:31,14-02-2024 19:47:34,2.398s,PASSED
"setText(findTestObject(""Object Repository/registerpage/firstname""), ""Tikus"", 10)",,,,14-02-2024 19:47:34,14-02-2024 19:47:36,2.325s,PASSED
hideKeyboard(),,,,14-02-2024 19:47:36,14-02-2024 19:47:37,1.283s,PASSED
"scrollToText(""City"")",,,,14-02-2024 19:47:37,14-02-2024 19:47:41,3.760s,PASSED
"setText(findTestObject(""Object Repository/registerpage/address""), ""Gorong gorong"", 10)",,,,14-02-2024 19:47:41,14-02-2024 19:47:43,1.983s,PASSED
hideKeyboard(),,,,14-02-2024 19:47:43,14-02-2024 19:47:44,1.240s,PASSED
delay(1),,,,14-02-2024 19:47:44,14-02-2024 19:47:45,1.020s,PASSED
"scrollToText(""REGISTER"")",,,,14-02-2024 19:47:45,14-02-2024 19:47:46,0.973s,PASSED
"tap(findTestObject(""Object Repository/registerpage/Button - REGISTER""), 10)",,,,14-02-2024 19:47:46,14-02-2024 19:47:47,0.529s,PASSED
delay(2),,,,14-02-2024 19:47:47,14-02-2024 19:47:49,2.006s,PASSED
closeApplication(),,,,14-02-2024 19:47:49,14-02-2024 19:47:51,1.897s,PASSED
