Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS Account Management Negative,,,,14-02-2024 20:26:18,14-02-2024 20:28:31,2m - 12.953s,PASSED
,,,,,,,
Test Cases/Negative Case/TCN001 - Login Gagal,,,,14-02-2024 20:26:19,14-02-2024 20:27:04,45.539s,PASSED
"startApplication(""C:\Users\asus\Downloads\Documents\Compressed\Advantage+demo+3.2.apk"", true)",,,,14-02-2024 20:26:19,14-02-2024 20:26:46,26.738s,PASSED
"tap(findTestObject(""Object Repository/swipebar""), 10)",,,,14-02-2024 20:26:46,14-02-2024 20:26:51,4.370s,PASSED
"tap(findTestObject(""Object Repository/loginwidget""), 10)",,,,14-02-2024 20:26:51,14-02-2024 20:26:51,0.595s,PASSED
"setText(findTestObject(""Object Repository/usernamewidget""), username, 10)",,,,14-02-2024 20:26:51,14-02-2024 20:26:54,3.206s,PASSED
"setText(findTestObject(""Object Repository/passwordwidget""), password, 10)",,,,14-02-2024 20:26:54,14-02-2024 20:26:58,3.364s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - LOGIN""), 10)",,,,14-02-2024 20:26:58,14-02-2024 20:26:59,1.012s,PASSED
delay(3),,,,14-02-2024 20:26:59,14-02-2024 20:27:02,3.060s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Incorrect user name or password""), 0)",,,,14-02-2024 20:27:02,14-02-2024 20:27:02,0.394s,PASSED
closeApplication(),,,,14-02-2024 20:27:02,14-02-2024 20:27:04,2.145s,PASSED
,,,,,,,
Test Cases/Negative Case/TCN001 - Login Gagal,,,,14-02-2024 20:27:04,14-02-2024 20:27:40,35.211s,PASSED
"startApplication(""C:\Users\asus\Downloads\Documents\Compressed\Advantage+demo+3.2.apk"", true)",,,,14-02-2024 20:27:04,14-02-2024 20:27:23,18.128s,PASSED
"tap(findTestObject(""Object Repository/swipebar""), 10)",,,,14-02-2024 20:27:23,14-02-2024 20:27:25,2.878s,PASSED
"tap(findTestObject(""Object Repository/loginwidget""), 10)",,,,14-02-2024 20:27:25,14-02-2024 20:27:27,1.311s,PASSED
"setText(findTestObject(""Object Repository/usernamewidget""), username, 10)",,,,14-02-2024 20:27:27,14-02-2024 20:27:31,3.817s,PASSED
"setText(findTestObject(""Object Repository/passwordwidget""), password, 10)",,,,14-02-2024 20:27:31,14-02-2024 20:27:33,2.394s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - LOGIN""), 10)",,,,14-02-2024 20:27:33,14-02-2024 20:27:34,0.934s,PASSED
delay(3),,,,14-02-2024 20:27:34,14-02-2024 20:27:37,3.008s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Incorrect user name or password""), 0)",,,,14-02-2024 20:27:37,14-02-2024 20:27:37,0.394s,PASSED
closeApplication(),,,,14-02-2024 20:27:37,14-02-2024 20:27:40,2.289s,PASSED
,,,,,,,
Test Cases/Negative Case/TCN002 - Register Gagal,,,,14-02-2024 20:27:40,14-02-2024 20:28:31,51.753s,PASSED
"startApplication(""C:\Users\asus\Downloads\Documents\Compressed\Advantage+demo+3.2.apk"", true)",,,,14-02-2024 20:27:40,14-02-2024 20:27:58,17.954s,PASSED
"tap(findTestObject(""Object Repository/registerpage/swipebar""), 10)",,,,14-02-2024 20:27:58,14-02-2024 20:28:03,4.882s,PASSED
"tap(findTestObject(""Object Repository/registerpage/loginwidget""), 10)",,,,14-02-2024 20:28:03,14-02-2024 20:28:03,0.740s,PASSED
"tap(findTestObject(""Object Repository/registerpage/signup today button""), 10)",,,,14-02-2024 20:28:03,14-02-2024 20:28:05,1.977s,PASSED
"setText(findTestObject(""Object Repository/registerpage/usernameregister.EditText""), ""kelinci"", 10)",,,,14-02-2024 20:28:05,14-02-2024 20:28:09,3.417s,PASSED
"setText(findTestObject(""Object Repository/registerpage/emailregister.EditText""), ""kelinci@gmail.com"", 10)",,,,14-02-2024 20:28:09,14-02-2024 20:28:11,2.432s,PASSED
"setText(findTestObject(""Object Repository/registerpage/passowrdregister.EditText""), ""Kelinci1"", 10)",,,,14-02-2024 20:28:11,14-02-2024 20:28:13,2.162s,PASSED
"setText(findTestObject(""Object Repository/registerpage/confirmpassregister.EditText""), ""Kelinci1"", 10)",,,,14-02-2024 20:28:13,14-02-2024 20:28:15,2.089s,PASSED
hideKeyboard(),,,,14-02-2024 20:28:15,14-02-2024 20:28:18,2.513s,PASSED
delay(1),,,,14-02-2024 20:28:18,14-02-2024 20:28:19,1.009s,PASSED
"scrollToText(""REGISTER"")",,,,14-02-2024 20:28:19,14-02-2024 20:28:23,3.769s,PASSED
delay(3),,,,14-02-2024 20:28:23,14-02-2024 20:28:26,3.006s,PASSED
"tap(findTestObject(""Object Repository/registerpage/Button - REGISTER""), 10)",,,,14-02-2024 20:28:26,14-02-2024 20:28:26,0.487s,PASSED
delay(3),,,,14-02-2024 20:28:26,14-02-2024 20:28:29,3.020s,PASSED
closeApplication(),,,,14-02-2024 20:28:29,14-02-2024 20:28:31,2.153s,PASSED
